[2026-02-06 09:45:32] - Comprobar OU OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Ventas,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Mover VENT-PC04 -> OU=Ventas,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK
[2026-02-06 09:45:32] - Comprobar OU OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Ventas,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Mover VENT-PC05 -> OU=Ventas,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK
[2026-02-06 09:45:32] - Comprobar OU OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Crear OU OU=Soporte,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (creada)
[2026-02-06 09:45:32] - Mover SOP-PC01 -> OU=Soporte,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK
[2026-02-06 09:45:32] - Comprobar OU OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Soporte,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Mover SOP-PC02 -> OU=Soporte,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK
[2026-02-06 09:45:32] - Comprobar OU OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Soporte,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Mover SOP-PC03 -> OU=Soporte,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK
[2026-02-06 09:45:32] - Comprobar OU OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Soporte,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Mover SOP-PC04 -> OU=Soporte,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK
[2026-02-06 09:45:32] - Comprobar OU OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Soporte,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
